arxiv	mode	bytes
2606.05293	layout	90341
2606.07825	layout	97032
2606.11531	layout	55587
2606.13912	layout	99829
2606.14352	layout	96234
2606.16875	layout	125540
2606.17045	layout	96355
2606.18339	layout	75397
2606.22644	layout	53494
2606.25600	layout	111093
2606.26760	layout	57306
2606.30464	layout	68513
2607.00398	layout	75091
2607.02292	layout	126845
2607.12274	layout	70227
2607.12925	layout	270189
2607.13781	layout	175233
2607.14766	layout	86928
2607.14875	layout	80359
2607.18865	layout	102783
2607.20623	layout	171528
2607.22522	layout	98781
2607.22863	layout	140011
2608.00178	layout	77416
2608.02473	layout	109151
2608.02727	layout	38913
2608.02753	layout	64988
2608.04979	layout	218422
2608.06504	layout	95654
2608.08798	layout	140948
2608.10365	layout	80405
2608.12465	layout	68490
2608.13238	layout	45788
2608.14476	layout	60489
2608.15806	layout	59650
2608.18065	layout	168080
2608.18168	layout	20572
2608.21291	layout	139797
2608.22925	layout	86117
2608.26347	layout	119898
2609.02929	layout	84184
2609.05556	layout	67307
2609.06672	layout	79428
2609.07645	layout	120831
2609.08453	layout	110737
2609.11745	layout	88460
