arxiv	doi	year	seeds	venue	title
2508.20972	10.1109/qce65121.2025.00249	2025	varbench	2025 IEEE International Conference on Quantum Computing and Engineering (QCE)	Quantum Advantage in Computational Chemistry?
	10.64972/jaat.2025v3.231p35e:476-488	2025	varbench	Journal of Applied Automation Technologies	A Novel Variational Quantum Algorithm for Solving High-Dimensional Partial Differential Equations in Climate Modeling
2508.11765	10.1016/j.future.2026.108487	2025	varbench	Future Gener. Comput. Syst.	The role of quantum computing in advancing scientific high-performance computing: A perspective from the ADAC institute
2508.10873		2025	varbench		QB Ground State Energy Estimation Benchmark
2508.05720	10.48550/arxiv.2508.05720	2025	varbench	ArXiv	The vast world of quantum advantage
2508.01072	10.1103/3kk2-3fsj	2025	varbench	Physical review letters	Biorthogonal Neural Network Approach to 2D Non-Hermitian Systems.
2507.23748		2025	varbench		Applying the Worldvolume Hybrid Monte Carlo method to the Hubbard model away from half filling
2507.21236		2025	varbench		The Augmented Tree Tensor Network Cookbook
2507.18700	10.48550/arxiv.2507.18700	2025	varbench	ArXiv	Adaptive Neural Quantum States: A Recurrent Neural Network Perspective
2507.17470	10.1038/s41467-026-72506-5	2025	varbench	Nature Communications	Demonstration of efficient predictive surrogates for large-scale quantum processors
2507.10705	10.1073/pnas.2535288123	2025	varbench	Proceedings of the National Academy of Sciences of the United States of America	Neural network-augmented Pfaffian wave-functions for scalable simulations of interacting fermions.
2507.10835	10.48550/arxiv.2507.10835	2025	varbench	ArXiv	Functional Neural Wavefunction Optimization
	10.1063/5.0271401	2025	varbench	The Journal of chemical physics	Tethered Gaussian wavepackets for quantum dynamics simulations: Sticking together for better convergence.
2507.03137	10.1103/j9rb-tnj4	2025	varbench	Physical review letters	Mapping Phase Diagrams of Quantum Spin Systems through Semidefinite-Programming Relaxations.
2507.01856	10.1103/dqc7-zsvc	2025	varbench	Physical Review B	Investigating the Fermi-Hubbard model by the tensor-backflow method
2506.23550	10.1103/3rq4-2m5k	2025	varbench	ArXiv	Seeding neural network quantum states with tensor network states
2506.22275	10.1016/j.physletb.2025.139841	2025	varbench	Physics Letters B	Excited states from ADAPT-VQE convergence path in many-body Problems: application to nuclear pairing problem and H4 molecule dissociation
2506.22418		2025	varbench		Universal Quantum Computational Spectroscopy on a Quantum Chip
2506.19461	10.1002/qute.202500866	2025	varbench	Advanced Quantum Technologies	Iterative Quantum Feature Maps
2506.19337	10.1021/acs.jctc.5c01038	2025	varbench	Journal of chemical theory and computation	A Perspective on Quantum Computing Applications in Quantum Chemistry Using 25-100 Logical Qubits.
2506.05050	10.1103/b2kz-15c5	2025	varbench	Physical Review B	Hybrid between biologically- and quantum-inspired many-body states
2505.21606	10.1103/6vd7-l9bn	2025	varbench	PRX Quantum	Pauli Propagation: A computational framework for simulating quantum systems
2505.20406		2025	varbench		Leveraging recurrence in neural network wavefunctions for large-scale simulations of Heisenberg antiferromagnets on the triangular lattice
2505.02901	10.21468/scipostphyscodeb.70	2025	varbench	SciPost Physics Codebases	XDiag: Exact diagonalization for quantum many-body systems
2505.00233	10.48550/arxiv.2505.00233	2025	varbench	ArXiv	Explorative Curriculum Learning for Strongly Correlated Electron Systems
2504.21440	10.22331/q-2025-09-29-1866	2025	varbench	Quantum	QuantumToolbox.jl: An efficient Julia framework for simulating open quantum systems
2504.18359	10.1103/xl6n-dlq6	2025	varbench	ArXiv	Predicting sampling advantage of stochastic Ising Machines for Quantum Simulations
	10.1103/physrevb.111.134508	2025	varbench	Physical Review B	Emergent pairing states and tunable symmetry in the anisotropic triangular lattice
2504.03832	10.1038/s43588-026-00991-1	2025	varbench	Nature Computational Science	The Quantum Optimization Benchmarking Library
	10.1103/physrevlett.134.126503	2025	varbench	Physical review letters	Unusual Energy Spectra of Matrix Product States.
2503.17140	10.48550/arxiv.2503.17140	2025	varbench	ArXiv	Adiabatic Fine-Tuning of Neural Quantum States Enables Detection of Phase Transitions in Weight Space
2503.10901	10.1038/s41524-026-02059-0	2025	varbench	npj Computational Materials	Computing band gaps of periodic materials via sample-based quantum diagonalization
2503.10462		2025	varbench		Convolutional transformer wave functions
2503.09696		2025	varbench		Fluctuation corrections to the free energy of strongly correlated electron systems
2503.08444	10.1103/wdy1-l2t2	2025	varbench	Physical Review B	Computation kernel for Feynman diagrams
2502.18838	10.1103/7mvy-zq7j	2025	varbench	Physical Review A	Comparison of encoding schemes for quantum computing of <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mrow><mml:mi>S</mml:mi><mml:mo>></mml:mo><mml:mn>1</mml:mn><mml:mi>/</mml:mi><mml:mn>2</mml:mn></mml:mrow></mml:math> spin chains
2502.17144		2025	varbench		Leveraging recurrence in neural network wavefunctions for large-scale simulations of Heisenberg antiferromagnets on the square lattice
2502.09488	10.1038/s41467-025-62098-x	2025	varbench	Nature Communications	Foundation neural-networks quantum states as a unified Ansatz for multiple hamiltonians
