arxiv	peer_reviewed	title	instance	verdict	eps	err	rel_pct	kind	convention	src	table	row_label	col_header	sizes	note	record_eps	record_method	exact_eps	caption
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	J1J2/square_64_P_0.5	BEATS	-0.742		-48.708	variational?		pdf	1	16×16 PBC	Size	16x16,12x12,8x8,10x10	J2=UNSTATED(instance J2=0.5)	-0.4989634765625	RBM+PP with momentum (K=0), spin-parity (even S), and point-group (A1) projections, 16 hidden units		1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	J1J2/square_64_P_0.5	BEATS	-0.7419		-48.688	variational?		pdf	1	0.875 16×16	Error	16x16,12x12,8x8,10x10	J2=UNSTATED(instance J2=0.5)	-0.4989634765625	RBM+PP with momentum (K=0), spin-parity (even S), and point-group (A1) projections, 16 hidden units		1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	J1J2/square_64_P_0.55	BEATS	-0.726015		-48.649	variational?		pdf	1	0.875 16×16	Condition	16x16,12x12,8x8,10x10	J2=UNSTATED(instance J2=0.55)	-0.48841	VMC + 2 Lanczos steps		1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_64_P_28_8	BEATS	-1.1086		-48.646	variational?		pdf	1	80/100 4 10×10 PBC	Condition	10x10,12x12,8x8	filling=UNSTATED(instance delta=0.1250)	-0.7458	Jastrow-backflow (JBf), 8x8 torus		1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2510.11710	yes	Comparing Symmetrized Determinant Neural Quantum States for the Hubbard Model	J1J2/square_64_P_0.55	BEATS	-0.7259	0	-48.625	variational?		html	0	HFDS ( 8 × 8 Cylinder)	E 0 / M	8x8,8x4	J2=UNSTATED(instance J2=0.55)	-0.48841	VMC + 2 Lanczos steps		Table 1: Converged variational energies per site for different lattices and network architectures. The left table shows results for the 8 × 4 and 8 × 8 cylinders and 8 × 8 torus lattices with U / t = 8 and n h = 1 / 8 hole doping. The right table shows results for the 8 × 8 torus with ViT and Symm-V
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	J1J2/square_64_P_0.5	BEATS	-0.7414		-48.588	variational?		pdf	1	16×16 PBC	Error	16x16,12x12,8x8,10x10	J2=UNSTATED(instance J2=0.5)	-0.4989634765625	RBM+PP with momentum (K=0), spin-parity (even S), and point-group (A1) projections, 16 hidden units		1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	J1J2/square_64_P_0.55	BEATS	-0.7257		-48.584	variational?		pdf	1	0.875 16×16	Condition	16x16,12x12,8x8,10x10	J2=UNSTATED(instance J2=0.55)	-0.48841	VMC + 2 Lanczos steps		1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.10705	no	Neural Network-Augmented Pfaffian Wave-functions for Scalable Simulations of Interacting Fermions	Hubbard/rectangular-4x16_64_PO_32_8	BEATS	-0.76413	0.00003	-48.542	variational?		html	3	16 × 4	E / N site	16x4	filling=UNSTATED(instance delta=0.0000)	-0.514421875	DMRG (MaxLinkDim = 4000, MaxTruncErr~4.7E-07)		Table 4: Raw data of Fig. 7 in the L × 4 lattice with 1/8 doping and U = 8 . Training time is listed in hours on NVIDIA H100 80GB GPUs.
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	J1J2/square_64_P_0.5	BEATS	-0.741		-48.508	variational?		pdf	1	0.875 16×16	Size	16x16,12x12,8x8,10x10	J2=UNSTATED(instance J2=0.5)	-0.4989634765625	RBM+PP with momentum (K=0), spin-parity (even S), and point-group (A1) projections, 16 hidden units		1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2007.00355	yes	Mapping distinct phase transitions to a neural network	Hubbard/square_256_P_120_8	BEATS	-0.95037	0.00005	-48.373	variational?		pdf	0	256	δfmax	N=256,L=256,L=0	filling=UNSTATED(instance delta=0.0625)	-0.640529	VAFQMC stripe length=8		TABLE I. Pseudo-critical pointsµ2c(L) for ﬁxedλL = 0.7 and work as a mapping that associates each conﬁguration, maxima of the predictive function δfmax for various lattice across diﬀerent systems, to its corresponding phase and sizes L of the φ4 scalar ﬁeld theory. uncovered universal features learn
