score	arxiv	peer_reviewed	n_energies	n_with_errorbar	n_tables	models	journal_ref	title
4	2512.08624	no	0	0	58	Hubbard		Operator Lanczos Approach enabling Neural Quantum States as Real-Frequency Impurity Solvers
4	2608.22925	no	0	0	17	Hubbard		Importance-Reweighted Fock-Space Variational Monte Carlo
4	2609.07645	no	0	0	45	Hubbard+TFIsing		Geometric inflation of deviations challenges neural quantum states in dynamics of quantum Ising models
4	2607.20623	no	0	0	183	Hubbard+tV		Learning the closest Slater determinant
4	2606.26760	no	2	0	7			An Iterative Dual-Channel Neural Quantum State Algorithm for Selected Configuration Interaction
4	2606.14352	no	0	0	29	Hubbard		Modeling light-matter coupled systems with neural quantum states
4	2605.28599	no	0	0	35	TFIsing		Thermodynamic-limit dispersion relations on trapped-ion quantum hardware
4	2605.21585	no	0	0	15	Hubbard		Robust fluctuating intertwined charge stripes in the Emery model
4	2605.15899	no	0	0	89	TFIsing		Solving Classical and Quantum Spin Glasses with Deep Boltzmann Quantum States
4	2604.05032	no	0	0	16	TFIsing		Real-time Dynamics in 3D for up to 1000 Qubits with Neural Quantum States: Quenches and the Quantum Kibble--Zurek Mechanism
4	2603.23887	no	0	0	41	TFIsing		Predicting quantum ground-state energy by data-driven Koopman analysis of variational parameter nonlinear dynamics
4	2603.14775	no	0	0	7	Hubbard		Neural network backflow for ab-initio solid calculations
4	2601.15169	no	0	0	11	Hubbard		Assessing Orbital Optimization in Variational and Diffusion Monte Carlo
4	2511.20388	no	0	0	17	Hubbard+TFIsing		Resource assessment of classical and quantum hardware for post-quench dynamics
4	2509.12431	no	0	0	29	Hubbard		Neural-Quantum-States Impurity Solver for Quantum Embedding Problems
4	2607.22863	no	0	0	110	TFIsing		Universal scaling framework for parameterized quantum evolutions at criticality
4	2607.12274	no	4	0	19	pyrochlore		Zero-Field Long Range Order at $T \sim 40$ mK in the Proximate Quantum Spin Ice Ce$_2$Sn$_2$O$_7$ and Phase Diagram for Magnetic Fields Along [1,1,0]
4	2603.28486	no	0	0	8	TFIsing		Emergent-Coupling-Based Ansatz Evaluated on a Superconducting Quantum Processor
4	2602.07522	yes	0	0	3		Entropy 2026, 28(3), 296	Systematic Characterization of Transmon Qubit Stability with Thermal Cycling
4	2602.05901	no	1	0	2	triangular		Spontaneous Parity Breaking in Quantum Antiferromagnets on the Triangular Lattice
4	2512.06768	no	0	0	33	Hubbard+Shastry		Real-Time Dynamics in Two Dimensions with Tensor Network States via Time-Dependent Variational Monte Carlo
4	2608.18168	no	0	0	10	tV+TFIsing		Embedding Paired Free-Fermion Gaussian States into Gutzwiller-Projected Bardeen--Cooper--Schrieffer Wave Functions
4	2511.13827	no	0	0	47	TFIsing		Optimizing two-dimensional isometric tensor networks with quantum computers
4	2511.13667	no	0	0	18	tV+TFIsing		Quantum complexity across thermal phase transition in the transverse field Ising chain with long-range couplings
4	2502.04866	no	0	0	54	Hubbard+tV		Crossover from Wannier-Stark localization to charge density waves for interacting spinless fermions in one dimension
3	2609.08453	no	0	0	23			The Forgotten History of Wave Function Variance Optimization and its Relevance for Neural-Network VMC
3	2609.02929	no	0	0	42			Scaling Neural Network Quantum States for Ab Initio Quantum Chemistry
3	2608.02727	no	0	0	1	triangular+Hubbard		Spin-charge separation in the triangular-lattice Hofstadter-Hubbard model
3	2608.00178	no	0	0	16			Neural Quantum States for Nuclear Magnetic Resonance Spectroscopy
3	2606.18339	no	0	0	18			Ground state preparation of random all-to-all Hamiltonians using ADAPT-VQE
3	2603.08081	no	0	0	13	TFIsing		Simulating non-Markovian open quantum dynamics by exploiting physics-informed neural network
3	2506.04401	no	0	0	28	Hubbard		Normalize Filters! Classical Wisdom for Deep Vision
3	2605.24119	no	0	0	0	kagome+triangular+pyrochlore		Signature of spin liquid state in a frustrated 3D antiferromagnet
3	2604.03737	no	0	0	1	kagome+triangular+pyrochlore		Cascade of Spin Liquids in a Bilayer Triangular-lattice Antiferromagnet Rb_2Co_2(SeO_3)_3
3	2505.13352	no	0	0	5	pyrochlore		Enhanced-Entropy Phases in Geometrically Frustrated Pyrochlore Magnets
3	2505.09762	no	0	0	0	kagome+pyrochlore+Hubbard		Unconventional polaronic ground state in superconducting LiTi$_2$O$_4$
3	2601.06939	no	0	0	13			Essentially No Energy Barrier Between Independent Fermionic Neural Quantum State Minima
3	2512.05749	no	0	0	52			Stochastic Reconfiguration with Warm-Started SVD
3	2509.12679	no	0	0	37			Large Language Model Scaling Laws for Neural Quantum States in Quantum Chemistry
3	2511.12966	no	2	0	4			Beyond Citations: A Cross-Domain Metric for Dataset Impact and Shareability
3	2508.18683	no	0	0	7	triangular		Graph Traversal via Connected Mobile Agents
3	2505.02900	no	0	0	33	TFIsing		Probing mixed-state phases on a quantum computer via Renyi correlators and variational decoding
2	2604.06741	no	0	0	143			Projector, Neural, and Tensor-Network Representations of $\mathbb{Z}_N$ Cluster and Dipolar-cluster SPT States
2	2509.24865	no	0	0	4			Quantum Dynamics with Time-Dependent Neural Quantum States
2	2605.06327	no	0	0	8			Measuring Evaluation-Context Divergence in Open-Weight LLMs: A Paired-Prompt Protocol with Pilot Evidence of Alignment-Pipeline-Specific Heterogeneity
2	2603.06306	no	0	0	5			Spin-Orbit Induced Non-Adiabatic Dynamics: An Exact $Ω$-Representation
2	2506.08908	no	0	0	10			SkipVAR: Accelerating Visual Autoregressive Modeling via Adaptive Frequency-Aware Skipping
2	2604.14733	no	0	0	13			Differentiable Object Pose Connectivity Metrics for Regrasp Sequence Optimization
0	2606.11531	no	0	0	0			Measuring language complexity from hierarchical reuse of recurring patterns
-1	2602.06387	yes	0	0	0		Physical Review B 113, 064401 (2026)	Fermionic Approach to Elementary Excitations and Magnetization Plateaus in an S=1/2 XX Hybrid Trimer-Dimer Chain
